timestamp,LCS2_CO2,LCS4_CO2,LCS1_CO2,LCS3_CO2,LCS5_CO2,Reference_CO2
2025-01-01 00:00:00,1470.5433,1272.4991,1234.0,1420.1104,1226.5986,921.983
2025-01-01 00:01:00,1457.71,1259.6658,1221.1667,1407.2771,1213.7653,909.1497
2025-01-01 00:02:00,1411.1741,1196.8002,1152.1667,1364.032,1144.1269,878.3867
2025-01-01 00:03:00,1366.2223,1143.0687,1087.1667,1321.2238,1112.3069,852.0424
2025-01-01 00:04:00,1287.2223,1064.0687,1008.1667,1242.2238,1033.3069,773.0424
2025-01-01 00:05:00,1222.7489,984.1604,944.0,1179.6485,960.3965,731.5933
2025-01-01 00:06:00,1182.775,948.8057,888.8333,1120.371,933.7212,725.5935
2025-01-01 00:07:00,1123.775,889.8057,829.8333,1061.371,874.7212,666.5935
2025-01-01 00:08:00,1067.0188,841.2243,783.5,1013.2646,825.256,648.9478
2025-01-01 00:09:00,1034.6855,808.891,751.1667,980.9313,792.9227,616.6145
2025-01-01 00:10:00,1002.5188,776.7243,719.0,948.7646,760.756,584.4478
2025-01-01 00:11:00,985.3521,759.5576,701.8333,931.5979,743.5893,567.2811
2025-01-01 00:12:00,994.6855,768.891,711.1667,940.9313,752.9227,576.6145
2025-01-01 00:13:00,907.5385,727.3339,695.6667,901.7759,715.0064,598.1069
2025-01-01 00:14:00,905.3718,725.1672,693.5,899.6092,712.8397,595.9402
2025-01-01 00:15:00,903.8718,723.6672,692.0,898.1092,711.3397,594.4402
2025-01-01 00:16:00,989.6855,763.891,706.1667,935.9313,747.9227,571.6145
2025-01-01 00:17:00,1007.8521,782.0576,724.3333,954.0979,766.0893,589.7811
2025-01-01 00:18:00,1033.3521,807.5576,749.8333,979.5979,791.5893,615.2811
2025-01-01 00:19:00,1047.1855,821.391,763.6667,993.4313,805.4227,629.1145
2025-01-01 00:20:00,1050.6855,824.891,767.1667,996.9313,808.9227,632.6145
2025-01-01 00:21:00,1044.6855,818.891,761.1667,990.9313,802.9227,626.6145
2025-01-01 00:22:00,1039.8521,814.0576,756.3333,986.0979,798.0893,621.7811
2025-01-01 00:23:00,1034.6855,808.891,751.1667,980.9313,792.9227,616.6145
2025-01-01 00:24:00,1024.8521,799.0576,741.3333,971.0979,783.0893,606.7811
2025-01-01 00:25:00,1016.3521,790.5576,732.8333,962.5979,774.5893,598.2811
2025-01-01 00:26:00,1012.3521,786.5576,728.8333,958.5979,770.5893,594.2811
2025-01-01 00:27:00,1008.5188,782.7243,725.0,954.7646,766.756,590.4478
2025-01-01 00:28:00,1006.8521,781.0576,723.3333,953.0979,765.0893,588.7811
2025-01-01 00:29:00,1008.1855,782.391,724.6667,954.4313,766.4227,590.1145
2025-01-01 00:30:00,1005.3521,779.5576,721.8333,951.5979,763.5893,587.2811
2025-01-01 00:31:00,1000.8521,775.0576,717.3333,947.0979,759.0893,582.7811
2025-01-01 00:32:00,1001.8521,776.0576,718.3333,948.0979,760.0893,583.7811
2025-01-01 00:33:00,996.1855,770.391,712.6667,942.4313,754.4227,578.1145
2025-01-01 00:34:00,993.3521,767.5576,709.8333,939.5979,751.5893,575.2811
2025-01-01 00:35:00,986.0188,760.2243,702.5,932.2646,744.256,567.9478
2025-01-01 00:36:00,907.5385,727.3339,695.6667,901.7759,715.0064,598.1069
2025-01-01 00:37:00,906.3718,726.1672,694.5,900.6092,713.8397,596.9402
2025-01-01 00:38:00,901.3718,721.1672,689.5,895.6092,708.8397,591.9402
2025-01-01 00:39:00,889.0385,708.8339,677.1667,883.2759,696.5064,579.6069
2025-01-01 00:40:00,886.7051,706.5005,674.8333,880.9425,694.173,577.2735
2025-01-01 00:41:00,893.7051,713.5005,681.8333,887.9425,701.173,584.2735
2025-01-01 00:42:00,895.5385,715.3339,683.6667,889.7759,703.0064,586.1069
2025-01-01 00:43:00,890.8718,710.6672,679.0,885.1092,698.3397,581.4402
2025-01-01 00:44:00,887.5385,707.3339,675.6667,881.7759,695.0064,578.1069
2025-01-01 00:45:00,881.0385,700.8339,669.1667,875.2759,688.5064,571.6069
2025-01-01 00:46:00,877.5385,697.3339,665.6667,871.7759,685.0064,568.1069
2025-01-01 00:47:00,877.7051,697.5005,665.8333,871.9425,685.173,568.2735
2025-01-01 00:48:00,879.3718,699.1672,667.5,873.6092,686.8397,569.9402
2025-01-01 00:49:00,869.2051,689.0005,657.3333,863.4425,676.673,559.7735
2025-01-01 00:50:00,866.2051,686.0005,654.3333,860.4425,673.673,556.7735
2025-01-01 00:51:00,862.7051,682.5005,650.8333,856.9425,670.173,553.2735
2025-01-01 00:52:00,818.7051,638.5005,606.8333,812.9425,626.173,509.2735
2025-01-01 00:53:00,816.7051,636.5005,604.8333,810.9425,624.173,507.2735
2025-01-01 00:54:00,814.7051,634.5005,602.8333,808.9425,622.173,505.2735
2025-01-01 00:55:00,840.3718,660.1672,628.5,834.6092,647.8397,530.9402
2025-01-01 00:56:00,864.3718,684.1672,652.5,858.6092,671.8397,554.9402
2025-01-01 00:57:00,880.8718,700.6672,669.0,875.1092,688.3397,571.4402
2025-01-01 00:58:00,906.5385,726.3339,694.6667,900.7759,714.0064,597.1069
2025-01-01 00:59:00,986.6855,760.891,703.1667,932.9313,744.9227,568.6145
2025-01-01 01:00:00,995.8521,770.0576,712.3333,942.0979,754.0893,577.7811
2025-01-01 01:01:00,1001.1855,775.391,717.6667,947.4313,759.4227,583.1145
2025-01-01 01:02:00,1020.1855,794.391,736.6667,966.4313,778.4227,602.1145
2025-01-01 01:03:00,1028.5188,802.7243,745.0,974.7646,786.756,610.4478
2025-01-01 01:04:00,1035.3521,809.5576,751.8333,981.5979,793.5893,617.2811
2025-01-01 01:05:00,1045.1855,819.391,761.6667,991.4313,803.4227,627.1145
2025-01-01 01:06:00,1062.5188,836.7243,779.0,1008.7646,820.756,644.4478
2025-01-01 01:07:00,1065.3521,839.5576,781.8333,1011.5979,823.5893,647.2811
2025-01-01 01:08:00,1058.0188,832.2243,774.5,1004.2646,816.256,639.9478
2025-01-01 01:09:00,1047.8521,822.0576,764.3333,994.0979,806.0893,629.7811
2025-01-01 01:10:00,1026.0188,800.2243,742.5,972.2646,784.256,607.9478
2025-01-01 01:11:00,1015.0188,789.2243,731.5,961.2646,773.256,596.9478
2025-01-01 01:12:00,1008.1855,782.391,724.6667,954.4313,766.4227,590.1145
2025-01-01 01:13:00,1014.6855,788.891,731.1667,960.9313,772.9227,596.6145
2025-01-01 01:14:00,1031.8521,806.0576,748.3333,978.0979,790.0893,613.7811
2025-01-01 01:15:00,1055.5188,829.7243,772.0,1001.7646,813.756,637.4478
2025-01-01 01:16:00,1080.3521,854.5576,796.8333,1026.5979,838.5893,662.2811
2025-01-01 01:17:00,1110.1084,876.1391,816.1667,1047.7044,861.0546,652.9269
2025-01-01 01:18:00,1119.6084,885.6391,825.6667,1057.2044,870.5546,662.4269
2025-01-01 01:19:00,1121.6084,887.6391,827.6667,1059.2044,872.5546,664.4269
2025-01-01 01:20:00,1119.4417,885.4724,825.5,1057.0377,870.3879,662.2602
2025-01-01 01:21:00,1116.775,882.8057,822.8333,1054.371,867.7212,659.5935
2025-01-01 01:22:00,1110.775,876.8057,816.8333,1048.371,861.7212,653.5935
2025-01-01 01:23:00,1107.4417,873.4724,813.5,1045.0377,858.3879,650.2602
2025-01-01 01:24:00,1103.275,869.3057,809.3333,1040.871,854.2212,646.0935
2025-01-01 01:25:00,1099.1084,865.1391,805.1667,1036.7044,850.0546,641.9269
2025-01-01 01:26:00,1078.5188,852.7243,795.0,1024.7646,836.756,660.4478
2025-01-01 01:27:00,1073.5188,847.7243,790.0,1019.7646,831.756,655.4478
2025-01-01 01:28:00,1073.3521,847.5576,789.8333,1019.5979,831.5893,655.2811
2025-01-01 01:29:00,1072.5188,846.7243,789.0,1018.7646,830.756,654.4478
2025-01-01 01:30:00,1059.0188,833.2243,775.5,1005.2646,817.256,640.9478
2025-01-01 01:31:00,1061.5188,835.7243,778.0,1007.7646,819.756,643.4478
2025-01-01 01:32:00,1066.3521,840.5576,782.8333,1012.5979,824.5893,648.2811
2025-01-01 01:33:00,1077.0188,851.2243,793.5,1023.2646,835.256,658.9478
2025-01-01 01:34:00,1079.8521,854.0576,796.3333,1026.0979,838.0893,661.7811
2025-01-01 01:35:00,1075.5188,849.7243,792.0,1021.7646,833.756,657.4478
